"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador","2016A000210","Beginning inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184552","3.2.1","4.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Beginning inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184812","3.2.2","7.1","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Lambs born","January to June","Head","148","thousands","3","v44184553","3.3.1","4.8","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Lambs born","July to December","Head","148","thousands","3","v44184813","3.3.2","0.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial imports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184554","3.4.1","0.0","","","t","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial imports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184814","3.4.2","0.0","","","t","1"
"2000","Newfoundland and Labrador","2016A000210","International imports of sheep and lambs","January to June","Head","148","thousands","3","v44184555","3.5.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International imports of sheep and lambs","July to December","Head","148","thousands","3","v44184815","3.5.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total disposition of sheep and lambs","January to June","Head","148","thousands","3","v44184556","3.6.1","1.7","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total disposition of sheep and lambs","July to December","Head","148","thousands","3","v44184816","3.6.2","2.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths and condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184557","3.7.1","0.7","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths and condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184817","3.7.2","0.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths, sheep","January to June","Head","148","thousands","3","v44184558","3.8.1","0.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths, sheep","July to December","Head","148","thousands","3","v44184818","3.8.2","0.1","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths, lambs","January to June","Head","148","thousands","3","v44184559","3.9.1","0.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths, lambs","July to December","Head","148","thousands","3","v44184819","3.9.2","0.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184560","3.10.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184820","3.10.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial exports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184561","3.11.1","0.0","","","t","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial exports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184821","3.11.2","0.0","","","t","1"
