DGUID,Greenhouse cucumbers (m2),Greenhouse peppers (m2),Greenhouse tomatoes (m2),year,CD,Greenhouse tomatoes (Vegetable kg),Greenhouse tomatoes (Vegetable kg P),Greenhouse tomatoes (Total kg P),Greenhouse cucumbers (Vegetable kg),Greenhouse cucumbers (Vegetable kg P),Greenhouse cucumbers (Total kg P),Greenhouse peppers (Vegetable kg),Greenhouse peppers (Vegetable kg P),Greenhouse peppers (Total kg P)
2021A00032485,0.0,0.0,0.0,2021,2485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032486,0.0,0.0,0.0,2021,2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032487,0.0,0.0,0.0,2021,2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032488,0.0,0.0,0.0,2021,2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032489,0.0,0.0,0.0,2021,2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032490,0.0,0.0,0.0,2021,2490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032491,217573.0,0.0,0.0,2021,2491,0.0,0.0,0.0,10017648.3671,7012.35385697,7012.35385697,0.0,0.0,0.0
2021A00032492,0.0,0.0,0.0,2021,2492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032493,0.0,0.0,0.0,2021,2493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032494,0.0,3833.0,0.0,2021,2494,0.0,0.0,0.0,0.0,0.0,0.0,80954.8765,97.1458518,97.1458518
2021A00032495,0.0,0.0,0.0,2021,2495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032496,0.0,0.0,0.0,2021,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032497,0.0,0.0,0.0,2021,2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032498,0.0,0.0,0.0,2021,2498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032499,0.0,0.0,33127.0,2021,2499,1302639.7702000001,521.0559080800001,521.0559080800001,0.0,0.0,0.0,0.0,0.0,0.0
