DGUID,Apples (m2),"Blueberries, total (m2)",Cranberries (m2),Grapes (m2),Pears (m2),Plums and prunes (m2),Raspberries (m2),Strawberries (m2),Cherries (m2),year,CD,Apples (Fruit kg),Apples (Fruit kg P),"Asparagus, producing (Total kg P)",Pears (Fruit kg),Pears (Fruit kg P),Plums and prunes (Fruit kg),Plums and prunes (Fruit kg P),Grapes (Fruit kg),Grapes (Fruit kg P),Strawberries (Fruit kg),Strawberries (Fruit kg P),Raspberries (Fruit kg),Raspberries (Fruit kg P),Cranberries (Fruit kg),Cranberries (Fruit kg P),"Blueberries, total (Fruit kg)","Blueberries, total (Fruit kg P)",Cherries (Fruit kg),Cherries (Fruit kg P)
2021A00032443,0.0,90000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,2021,2443,0.0,0.0,0.0,0.0,0.0,1411.0,0.2822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,1.296,0.0,0.0
2021A00032444,0.0,0.0,0.0,0.0,20000.0,10000.0,0.0,280000.0,0.0,2021,2444,0.0,0.0,0.0,9396.0,0.9396000000000001,1411.0,0.2822,0.0,0.0,263200.0,60.535999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032445,0.0,240000.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,2021,2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142800.0,142.8,0.0,0.0,0.0,0.0,0.0,0.0,28800.0,3.4560000000000004,0.0,0.0
2021A00032446,5810000.0,0.0,0.0,2770000.0,80000.0,70000.0,60000.0,270000.0,0.0,2021,2446,12264329.0,2452.8658,0.0,37584.0,3.7584000000000004,9877.0,1.9753999999999998,1412700.0,1412.7,253800.0,58.373999999999995,18600.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032447,0.0,120000.0,0.0,0.0,60000.0,20000.0,0.0,0.0,0.0,2021,2447,0.0,0.0,0.0,28188.0,2.8188,2822.0,0.5644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,1.7280000000000002,0.0,0.0
2021A00032448,0.0,60000.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,2021,2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,2.79,0.0,0.0,7200.0,0.8640000000000001,0.0,0.0
2021A00032449,0.0,0.0,1510000.0,0.0,0.0,0.0,0.0,170000.0,50000.0,2021,2449,0.0,0.0,1.739,0.0,0.0,0.0,0.0,0.0,0.0,159800.0,36.754,0.0,0.0,3472999.9999999995,224.0085,0.0,0.0,8695.0,1.739
2021A00032450,0.0,0.0,700000.0,0.0,0.0,0.0,60000.0,260000.0,0.0,2021,2450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244400.0,56.211999999999996,18600.0,5.58,1609999.9999999998,103.84499999999998,0.0,0.0,0.0,0.0
2021A00032451,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,2021,2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142800.0,142.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032452,0.0,0.0,2500000.0,300000.0,0.0,0.0,140000.0,720000.0,0.0,2021,2452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153000.0,153.0,676800.0,155.664,43400.0,13.02,5750000.0,370.875,0.0,0.0,0.0,0.0
2021A00032453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032454,0.0,0.0,0.0,0.0,0.0,0.0,130000.0,790000.0,0.0,2021,2454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742600.0,170.798,40300.0,12.09,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032455,12160000.0,0.0,0.0,860000.0,210000.0,40000.0,70000.0,770000.0,0.0,2021,2455,25668544.0,5133.7088,0.0,98658.0,9.8658,5644.0,1.1288,438600.0,438.6,723800.0,166.47400000000002,21700.0,6.51,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032456,0.0,110000.0,0.0,0.0,0.0,0.0,50000.0,240000.0,0.0,2021,2456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225600.0,51.888000000000005,15500.0,4.65,0.0,0.0,13200.0,1.584,0.0,0.0
2021A00032457,3960000.0,0.0,0.0,0.0,0.0,20000.0,0.0,200000.0,0.0,2021,2457,8359164.0,1671.8328,0.0,0.0,0.0,2822.0,0.5644,0.0,0.0,188000.0,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032459,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.5760000000000001,0.0,0.0
2021A00032460,330000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,2021,2460,696597.0,139.3194,0.0,4698.0,0.46980000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032461,0.0,0.0,790000.0,0.0,0.0,0.0,60000.0,0.0,20000.0,2021,2461,0.0,0.0,0.6956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18600.0,5.58,1816999.9999999998,117.19649999999997,0.0,0.0,3478.0,0.6956
2021A00032462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
