DGUID,CD,REF_DATE,Animal,kg P live,kg P carcass,kg P slaugther waste
2021A00032437,2437,2021,Sheep,323.22266259561616,148.68242479398342,174.5402378016327
2021A00032437,2437,2021,Goat,19.783107304878833,9.891553652439416,9.891553652439416
2021A00032437,2437,2021,Calves,6905.567356213049,3798.062045917177,3107.5053102958714
2021A00032437,2437,2021,Cattle,4686.1651835183175,2296.2209399239755,2389.9442435943415
2021A00032437,2437,2021,Chicken,42397.99194735489,30526.554202095518,11871.43774525937
2021A00032437,2437,2021,Turkey,3044.2480256324097,2344.070979736956,700.1770458954542
2021A00032437,2437,2021,Rabbit,24.52326835823466,12.99733222986437,11.525936128370288
2021A00032438,2438,2021,Hogs,72764.85752416038,58211.8860193283,14552.971504832076
2021A00032438,2438,2021,Sheep,235.66067038743913,108.403908378222,127.25676200921713
2021A00032438,2438,2021,Goat,14.423803988172526,7.211901994086263,7.211901994086263
2021A00032438,2438,2021,Calves,5034.828373426236,2769.1556053844297,2265.672768041806
2021A00032438,2438,2021,Cattle,3416.668929789274,1674.1677755967444,1742.5011541925298
2021A00032438,2438,2021,Chicken,30912.24830944269,22256.818782798735,8655.429526643953
2021A00032438,2438,2021,Turkey,2219.552072200219,1709.0550955941685,510.4969766060504
2021A00032438,2438,2021,Rabbit,17.879841144130953,9.476315806389406,8.403525337741547
2021A00032439,2439,2021,Hogs,0.0,0.0,0.0
2021A00032439,2439,2021,Sheep,0.0,0.0,0.0
2021A00032439,2439,2021,Goat,0.0,0.0,0.0
2021A00032439,2439,2021,Calves,0.0,0.0,0.0
2021A00032439,2439,2021,Cattle,0.0,0.0,0.0
2021A00032439,2439,2021,Chicken,0.0,0.0,0.0
2021A00032439,2439,2021,Turkey,0.0,0.0,0.0
2021A00032439,2439,2021,Rabbit,0.0,0.0,0.0
2021A00032440,2440,2021,Hogs,0.0,0.0,0.0
2021A00032440,2440,2021,Sheep,0.0,0.0,0.0
2021A00032440,2440,2021,Goat,0.0,0.0,0.0
2021A00032440,2440,2021,Calves,0.0,0.0,0.0
2021A00032440,2440,2021,Cattle,0.0,0.0,0.0
2021A00032440,2440,2021,Chicken,0.0,0.0,0.0
2021A00032440,2440,2021,Turkey,0.0,0.0,0.0
2021A00032440,2440,2021,Rabbit,0.0,0.0,0.0
2021A00032441,2441,2021,Hogs,0.0,0.0,0.0
2021A00032441,2441,2021,Sheep,0.0,0.0,0.0
2021A00032441,2441,2021,Goat,0.0,0.0,0.0
2021A00032441,2441,2021,Calves,0.0,0.0,0.0
2021A00032441,2441,2021,Cattle,0.0,0.0,0.0
2021A00032441,2441,2021,Chicken,0.0,0.0,0.0
2021A00032441,2441,2021,Turkey,0.0,0.0,0.0
2021A00032441,2441,2021,Rabbit,0.0,0.0,0.0
2021A00032442,2442,2021,Hogs,1668.9187505541372,1335.1350004433098,333.78375011082744
2021A00032442,2442,2021,Sheep,5.40506124741833,2.486328173812432,2.918733073605898
2021A00032442,2442,2021,Goat,0.3308211923892781,0.16541059619463905,0.16541059619463905
2021A00032442,2442,2021,Calves,115.47771498684027,63.512743242762156,51.96497174407811
2021A00032442,2442,2021,Cattle,78.36396627957052,38.39834347698955,39.96562280258097
2021A00032442,2442,2021,Chicken,708.9965208587773,510.4774950183197,198.5190258404577
2021A00032442,2442,2021,Turkey,50.907157619271075,39.19851136683873,11.708646252432347
2021A00032442,2442,2021,Rabbit,0.41008809963603104,0.21734669280709645,0.19274140682893456
2021A00032443,2443,2021,Hogs,0.0,0.0,0.0
2021A00032443,2443,2021,Sheep,0.0,0.0,0.0
2021A00032443,2443,2021,Goat,0.0,0.0,0.0
2021A00032443,2443,2021,Calves,0.0,0.0,0.0
2021A00032443,2443,2021,Cattle,0.0,0.0,0.0
2021A00032443,2443,2021,Chicken,0.0,0.0,0.0
2021A00032443,2443,2021,Turkey,0.0,0.0,0.0
2021A00032443,2443,2021,Rabbit,0.0,0.0,0.0
2021A00032444,2444,2021,Hogs,0.0,0.0,0.0
2021A00032444,2444,2021,Sheep,0.0,0.0,0.0
2021A00032444,2444,2021,Goat,0.0,0.0,0.0
2021A00032444,2444,2021,Calves,0.0,0.0,0.0
2021A00032444,2444,2021,Cattle,0.0,0.0,0.0
2021A00032444,2444,2021,Chicken,0.0,0.0,0.0
2021A00032444,2444,2021,Turkey,0.0,0.0,0.0
2021A00032444,2444,2021,Rabbit,0.0,0.0,0.0
2021A00032445,2445,2021,Hogs,32710.80751086109,26168.646008688873,6542.1615021722155
2021A00032445,2445,2021,Sheep,105.93920044939927,48.73203220672366,57.2071682426756
