"REF_DATE","GEO","DGUID","Supply and disposition of cattle","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Prince Edward Island","2016A000211","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123403","5.11.2","86.5","","","","1"
"2000","Nova Scotia","2016A000212","Total supply of cattle","January to June","Head","148","thousands","3","v41123404","6.1.1","135.0","","","","1"
"2000","Nova Scotia","2016A000212","Total supply of cattle","July to December","Head","148","thousands","3","v41123405","6.1.2","129.1","","","","1"
"2000","Nova Scotia","2016A000212","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123406","6.2.1","109.0","","","","1"
"2000","Nova Scotia","2016A000212","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123407","6.2.2","111.5","","","","1"
"2000","Nova Scotia","2016A000212","Calves born","January to June","Head","148","thousands","3","v41123408","6.3.1","26.0","","","","1"
"2000","Nova Scotia","2016A000212","Calves born","July to December","Head","148","thousands","3","v41123409","6.3.2","17.6","","","","1"
"2000","Nova Scotia","2016A000212","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123410","6.4.1","0.0","","","","1"
"2000","Nova Scotia","2016A000212","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123411","6.4.2","0.0","","","","1"
"2000","Nova Scotia","2016A000212","International imports of cattle","January to June","Head","148","thousands","3","v41123412","6.5.1","0.0","","","","1"
"2000","Nova Scotia","2016A000212","International imports of cattle","July to December","Head","148","thousands","3","v41123413","6.5.2","0.0","","","","1"
"2000","Nova Scotia","2016A000212","Total disposition of cattle","January to June","Head","148","thousands","3","v41123414","6.6.1","23.5","","","","1"
"2000","Nova Scotia","2016A000212","Total disposition of cattle","July to December","Head","148","thousands","3","v41123415","6.6.2","22.6","","","","1"
"2000","Nova Scotia","2016A000212","Slaughter of cattle","January to June","Head","148","thousands","3","v41123416","6.7.1","13.1","","","","1"
"2000","Nova Scotia","2016A000212","Slaughter of cattle","July to December","Head","148","thousands","3","v41123417","6.7.2","17.0","","","","1"
"2000","Nova Scotia","2016A000212","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123418","6.8.1","7.0","","","","1"
"2000","Nova Scotia","2016A000212","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123419","6.8.2","2.4","","","","1"
"2000","Nova Scotia","2016A000212","International exports of cattle","January to June","Head","148","thousands","3","v41123420","6.9.1","0.2","","","","1"
"2000","Nova Scotia","2016A000212","International exports of cattle","July to December","Head","148","thousands","3","v41123421","6.9.2","0.0","","","","1"
"2000","Nova Scotia","2016A000212","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123422","6.10.1","3.2","","","","1"
"2000","Nova Scotia","2016A000212","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123423","6.10.2","3.2","","","","1"
