CD,ChickensBroilers,ChickensPullets,ChickensLayers,TurkeysMature,ChickensBroilers_AU,ChickensPullets_AU,ChickensLayers_AU,TurkeysMature_AU,PoultryAnimalUnits,ChickensBroilers_Manure_kgperyear,ChickensPullets_Manure_kgperyear,ChickensLayers_Manure_kgperyear,TurkeysMature_Manure_kgperyear,PoultryManure_kgperyear,ChickensBroilers_P_kgperyear,ChickensPullets_P_kgperyear,ChickensLayers_P_kgperyear,TurkeysMature_P_kgperyear,PoultryP_kgperyear,ChickensBroilers_Pinorg_kgperyear,ChickensPullets_Pinorg_kgperyear,ChickensLayers_Pinorg_kgperyear,TurkeysMature_Pinorg_kgperyear,PoultryPinorg_kgperyear,ChickensBroilers_Porg_kgperyear,ChickensPullets_Porg_kgperyear,ChickensLayers_Porg_kgperyear,TurkeysMature_Porg_kgperyear,PoultryPorg_kgperyear
2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,1244.4,0.0,0.0,0.0,2.7349450549450554,0.0,0.0,0.0,2.7349450549450554,37141.87920052751,0.0,0.0,0.0,37141.87920052751,118.17870654713292,0.0,0.0,0.0,118.17870654713292,67.36186273186576,0.0,0.0,0.0,67.36186273186576,50.816843815267156,0.0,0.0,0.0,50.816843815267156
2469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2471,1912.16,0.0,413308.0,0.0,4.2025494505494505,0.0,1653.232,0.0,1657.4345494505494,57072.65809392532,0.0,17172469.615951985,0.0,17229542.27404591,181.59482120794408,0.0,99419.56093445892,0.0,99601.15575566686,103.50904808852812,0.0,56669.14973264158,0.0,56772.658780730104,78.08577311941595,0.0,42750.41120181733,0.0,42828.49697493675
2472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2473,140252.04,0.0,0.0,0.0,308.24624175824175,0.0,0.0,0.0,308.24624175824175,4186133.3392056827,0.0,0.0,0.0,4186133.3392056827,13319.515170199891,0.0,0.0,0.0,13319.515170199891,7592.123647013937,0.0,0.0,0.0,7592.123647013937,5727.391523185953,0.0,0.0,0.0,5727.391523185953
2474,152993.2,0.0,0.0,2259.2000000000003,336.24879120879126,0.0,0.0,45.184000000000005,381.4327912087913,4566421.5307796085,0.0,0.0,373828.9926143995,4940250.523394008,14529.523052480565,0.0,0.0,1557.6208025599992,16087.143855040564,8281.828139913921,0.0,0.0,934.5724815359995,9216.40062144992,6247.694912566642,0.0,0.0,623.0483210239997,6870.743233590642
2475,298478.52,0.0,0.0,0.0,655.9967472527472,0.0,0.0,0.0,655.9967472527472,8908753.723716034,0.0,0.0,0.0,8908753.723716034,28346.034575460093,0.0,0.0,0.0,28346.034575460093,16157.239708012252,0.0,0.0,0.0,16157.239708012252,12188.79486744784,0.0,0.0,0.0,12188.79486744784
2476,0.0,22014.320000000003,27080.0,0.0,0.0,48.38312087912089,108.32,0.0,156.7031208791209,0.0,365183.1006646852,1125142.695519999,0.0,1490325.7961846841,0.0,2114.2179512166,6513.984026694734,0.0,8628.201977911334,0.0,1205.104232193462,3712.970895215998,0.0,4918.07512740946,0.0,909.113719023138,2801.0131314787354,0.0,3710.1268505018734
2477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,28988.4,0.0,0.0,0.0,63.71076923076924,0.0,0.0,0.0,63.71076923076924,865223.1203926161,0.0,0.0,0.0,865223.1203926161,2752.9826557946863,0.0,0.0,0.0,2752.9826557946863,1569.200113802971,0.0,0.0,0.0,1569.200113802971,1183.782541991715,0.0,0.0,0.0,1183.782541991715
2480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
